,person,award,movie,year_of_award
282,F. Murray Abraham,Best Actor,Amadeus,1985
287,William Hurt,Best Actor,Kiss of the Spider Woman,1986
291,Paul Newman,Best Actor,The Color of Money,1987
296,Michael Douglas,Best Actor,Wall Street,1988
301,Dustin Hoffman,Best Actor,Rainman,1989
307,Daniel Day-Lewis,Best Actor,My Left Foot,1990
312,Jeremy Irons,Best Actor,Reversal of Fortune,1991
317,Anthony Hopkins,Best Actor,Silence of the Lambs,1992
322,Al Pacino,Best Actor,Scent of a Woman,1993
327,Tom Hanks,Best Actor,Philadelphia,1994
333,Tom Hanks,Best Actor,Forrest Gump,1995
338,Nicolas Cage,Best Actor,Leaving Las Vegas,1996
343,Geoffrey Rush,Best Actor,Shine,1997
344,Jack Nicholson,Best Actor,As Good as It Gets,1997
353,Roberto Benigni,Best Actor,Life is Beautiful,1999
360,Kevin Spacey,Best Actor,American Beauty,2000
366,Russell Crowe,Best Actor,Gladiator,2001
372,Denzel Washington,Best Actor,Training Day,2002
377,Adrien Brody,Best Actor,The Pianist,2003
378,Sean Penn,Best Actor,Mystic River,2003
387,Jamie Foxx,Best Actor,Ray,2005
394,Philip Seymour Hoffman,Best Actor,Capote,2006
400,Forest Whitaker,Best Actor,The Last King of Scotland,2007
407,Daniel Day-Lewis,Best Actor,There Will Be Blood,2008
412,Sean Penn,Best Actor,Milk,2009
417,Jeff Bridges,Best Actor,Crazy Heart,2010
423,Colin Firth,Best Actor,The King's Speech,2011
428,Jean Dujardin,Best Actor,The Artist,2012
433,Daniel Day-Lewis,Best Actor,Lincoln,2013
437,Matthew McConaughey,Best Actor,Dallas Buyers Club,2014
