,person,award,movie,year_of_award
2,Janet Gaynor,Best Actress,7th Heaven,1929
6,Mary Pickford,Best Actress,Coquette,1930
7,Norma Shearer,Best Actress,The Divorcee,1930
10,Marie Dressler,Best Actress,Min and Bill,1931
13,Helen Hayes,Best Actress,The Sin of Madelon Claudet,1932
17,Katharine Hepburn,Best Actress,Morning Glory,1934
20,Claudette Colbert,Best Actress,It Happened One Night,1935
23,Bette Davis,Best Actress,Dangerous,1936
26,Luise Rainer,Best Actress,The Great Ziegfeld,1937
32,Luise Rainer,Best Actress,The Good Earth,1938
37,Bette Davis,Best Actress,Jezebel,1939
42,Vivien Leigh,Best Actress,Gone with the Wind,1940
43,Joan Fontaine,Best Actress,Suspicion,1940
48,Ginger Rogers,Best Actress,Kitty Foyle,1941
50,Ginger Rogers,Best Actress,Kitty Foyle,1941
54,Greer Garson,Best Actress,Mrs. Miniver,1942
65,Jennifer Jones,Best Actress,The Song of Bernadette,1944
70,Ingrid Bergman,Best Actress,Gaslight,1945
75,Joan Crawford,Best Actress,Mildred Pierce,1946
81,Olivia de Havilland,Best Actress,To Each His Own,1947
86,Loretta Young,Best Actress,The Farmer's Daughter,1948
91,Jane Wyman,Best Actress,Johnny Belinda,1949
97,Olivia de Havilland,Best Actress,The Heiress,1950
102,Judy Holliday,Best Actress,Born Yesterday,1951
107,Vivien Leigh,Best Actress,A Streetcar Named Desire,1952
112,Shirley Booth,Best Actress,"Come Back, Little Sheba",1953
118,Audrey Hepburn,Best Actress,Roman Holiday,1954
123,Grace Kelly,Best Actress,The Country Girl,1955
128,Anna Magnani,Best Actress,The Rose Tattoo,1956
133,Ingrid Bergman,Best Actress,Anastasia,1957
138,Joanne Woodward,Best Actress,The Three Faces of Eve,1958
140,Joanne Woodward,Best Actress,The Three Faces of Eve,1958
144,Susan Hayward,Best Actress,I Want To Live!,1959
149,Simone Signoret,Best Actress,Room at the Top,1960
155,Elizabeth Taylor,Best Actress,Butterfield 8,1961
161,Sophia Loren,Best Actress,Two Women,1962
166,Anne Bancroft,Best Actress,The Miracle Worker,1963
171,Patricia Neal,Best Actress,Hud,1964
176,Julie Andrews,Best Actress,Mary Poppins,1965
181,Julie Christie,Best Actress,Darling,1966
186,Elizabeth Taylor,Best Actress,Who's Afraid of Virginia Woolf?,1967
188,Elizabeth Taylor,Best Actress,Who's Afraid of Virginia Woolf?,1967
192,Katharine Hepburn,Best Actress,Guess Who's Coming to Dinner,1968
198,Barbra Streisand,Best Actress,Funny Girl,1969
199,Katharine Hepburn,Best Actress,The Lion in Winter,1969
205,Maggie Smith,Best Actress,The Prime of Miss Jean Brodie,1970
207,Maggie Smith,Best Actress,The Prime of Miss Jean Brodie,1970
210,Glenda Jackson,Best Actress,Women in Love,1971
215,Jane Fonda,Best Actress,Klute,1972
221,Liza Minnelli,Best Actress,Cabaret,1973
225,Glenda Jackson,Best Actress,A Touch of Class,1974
230,Ellen Burstyn,Best Actress,Alice Doesn't Live Here Anymore,1975
236,Louise Fletcher,Best Actress,One Flew Over the Cuckoo's Nest,1976
241,Faye Dunaway,Best Actress,Network,1977
243,Faye Dunaway,Best Actress,Network,1977
248,Diane Keaton,Best Actress,Annie Hall,1978
253,Jane Fonda,Best Actress,Coming Home,1979
260,Sally Field,Best Actress,Norma Rae,1980
265,Sissy Spacek,Best Actress,Coal Miner's Daughter,1981
270,Katharine Hepburn,Best Actress,On Golden Pond,1982
275,Meryl Streep,Best Actress,Sophie's Choice,1983
279,Shirley MacLaine,Best Actress,Terms of Endearment,1984
284,Sally Field,Best Actress,Places in the Heart,1985
289,Geraldine Page,Best Actress,The Trip to Bountiful,1986
293,Marlee Matlin,Best Actress,Children of a Lesser God,1987
298,Cher,Best Actress,Moonstruck,1988
303,Jodie Foster,Best Actress,The Accused,1989
309,Jessica Tandy,Best Actress,Driving Miss Daisy,1990
314,Kathy Bates,Best Actress,Misery,1991
319,Jodie Foster,Best Actress,The Silence of the Lambs,1992
324,Emma Thompson,Best Actress,Howards End,1993
329,Holly Hunter,Best Actress,The Piano,1994
335,Jessica Lange,Best Actress,Blue Sky,1995
340,Susan Sarandon,Best Actress,Dead Man Walking,1996
346,Frances McDormand,Best Actress,Fargo,1997
350,Helen Hunt,Best Actress,As Good As It Gets,1998
355,Gwyneth Paltrow,Best Actress,Shakespeare in Love,1999
357,Gwyneth Paltrow,Best Actress,Shakespeare in Love,1999
362,Hilary Swank,Best Actress,Boys Don't Cry,2000
368,Julia Roberts,Best Actress,Erin Brockovich,2001
374,Halle Berry,Best Actress,Monster's Ball,2002
380,Nicole Kidman,Best Actress,The Hours,2003
384,Charlize Theron,Best Actress,Monster,2004
389,Hilary Swank,Best Actress,Million Dollar Baby,2005
391,Hilary Swank,Best Actress,Million Dollar Baby,2005
392,Hilary Swank,Best Actress,Million Dollar Baby,2005
396,Reese Witherspoon,Best Actress,Walk the Line,2006
402,Helen Mirren,Best Actress,The Queen,2007
409,Marion Cotillard,Best Actress,The Passionate Life of Edith Piaf,2008
414,Kate Winslet,Best Actress,The Reader,2009
419,Sandra Bullock,Best Actress,The Blind Side,2010
425,Natalie Portman,Best Actress,Black Swan,2011
430,Meryl Streep,Best Actress,The Iron Lady,2012
435,Jennifer Lawrence,Best Actress,Silver Linings Playbook,2013
439,Cate Blanchett,Best Actress,Blue Jasmine,2014
