,person,award,movie,year_of_award
0,Lewis Milestone,Best Director,Two Arabian Knights,1927
3,Frank Lloyd,Best Director,The Divine Lady,1930
8,Lewis Milestone,Best Director,All Quiet on the Western Front,1931
11,Norman Taurog,Best Director,Skippy,1932
14,Frank Borzage,Best Director,Bad Girl,1933
15,Frank Lloyd,Best Director,Cavalcade,1934
18,Frank Capra,Best Director,It Happened One Night,1935
21,John Ford,Best Director,The Informer,1936
24,Frank Capra,Best Director,Mr. Deeds Goes to Town,1937
28,Leo McCarey,Best Director,The Awful Truth,1938
34,Frank Capra,Best Director,You Can't Take It with You,1939
39,Victor Fleming,Best Director,Gone with the Wind,1940
45,John Ford,Best Director,The Grapes of Wrath,1941
51,John Ford,Best Director,How Green Was My Valley,1942
57,William Wyler,Best Director,Mrs. Miniver,1943
62,Michael Curtiz,Best Director,Casablanca,1944
67,Leo McCarey,Best Director,Going My Way,1945
72,Billy Wilder,Best Director,The Lost Weekend,1946
78,William Wyler,Best Director,The Best Years of Our Lives,1947
83,Elia Kazan,Best Director,Gentleman's Agreement,1948
88,John Huston,Best Director,The Treasure of the Sierra Madre,1949
93,John Huston,Best Director,The Treasure of the Sierra Madre,1949
94,Joseph L. Mankiewicz,Best Director,A Letter to Three Wives,1950
99,Joseph L. Mankiewicz,Best Director,All About Eve,1951
104,George Stevens,Best Director,A Place in the Sun,1952
109,John Ford,Best Director,The Quiet Man,1953
115,Fred Zinnemann,Best Director,From Here to Eternity,1954
120,Elia Kazan,Best Director,On the Waterfront,1955
125,Delbert Mann,Best Director,Marty,1956
130,George Stevens,Best Director,Giant,1957
135,David Lean,Best Director,The Bridge on the River Kwai,1958
141,Vincente Minnelli,Best Director,Gigi,1959
146,William Wyler,Best Director,Ben-Hur,1960
151,Billy Wilder,Best Director,The Apartment,1961
152,Robert Wise,Best Director,West Side Story,1961
157,Billy Wilder,Best Director,The Apartment,1961
158,Jerome Robbins,Best Director,West Side Story,1962
163,David Lean,Best Director,Lawrence of Arabia,1963
168,Tony Richardson,Best Director,Tom Jones,1964
173,George Cukor,Best Director,My Fair Lady,1965
178,Robert Wise,Best Director,The Sound of Music,1966
183,Fred Zinnemann,Best Director,A Man for All Seasons,1967
189,Mike Nichols,Best Director,The Graduate,1968
194,Carol Reed,Best Director,Oliver!,1969
195,John Schlesinger,Best Director,Midnight Cowboy,1969
202,Franklin J. Schaffner,Best Director,Patton,1970
212,William Friedkin,Best Director,The French Connection,1972
217,Bob Fosse,Best Director,Cabaret,1973
218,George Roy Hill,Best Director,The Sting,1973
227,Francis Ford Coppola,Best Director,The Godfather Part II,1975
232,Milos Forman,Best Director,One Flew over the Cuckoo's Nest,1976
233,John G. Avildsen,Best Director,Rocky,1976
245,Woody Allen,Best Director,Annie Hall,1978
250,Michael Cimino,Best Director,The Deer Hunter,1979
255,Michael Cimino,Best Director,The Deer Hunter,1979
256,Robert Benton,Best Director,Kramer vs. Kramer,1980
257,Robert Redford,Best Director,Ordinary People,1980
262,Warren Beatty,Best Director,Reds,1981
267,Richard Attenborough,Best Director,Gandhi,1982
272,James L. Brooks,Best Director,Terms of Endearment,1983
281,Milos Forman,Best Director,Amadeus,1985
286,Sydney Pollack,Best Director,Out of Africa,1986
295,Bernardo Bertolucci,Best Director,The Last Emperor,1988
300,Barry Levinson,Best Director,Rain Man,1989
305,Oliver Stone,Best Director,Platoon,1990
306,Oliver Stone,Best Director,Born on the Fourth of July,1990
311,Kevin Costner,Best Director,Dances with Wolves,1991
316,Jonathan Demme,Best Director,The Silence of the Lambs,1992
321,Clint Eastwood,Best Director,Unforgiven,1993
326,Steven Spielberg,Best Director,Schindler's List,1994
332,Robert Zemeckis,Best Director,Forrest Gump,1995
337,Mel Gibson,Best Director,Braveheart,1996
342,Anthony Minghella,Best Director,The English Patient,1997
348,James Cameron,Best Director,Titanic,1998
352,Steven Spielberg,Best Director,Saving Private Ryan,1999
359,Sam Mendes,Best Director,American Beauty,2000
365,Steven Soderbergh,Best Director,Traffic,2001
371,Ron Howard,Best Director,A Beautiful Mind,2002
376,Roman Polanski,Best Director,The Pianist,2003
382,Peter Jackson,Best Director,The Lord of the Rings: Return of the King,2004
386,Clint Eastwood,Best Director,Million Dollar Baby,2005
393,Ang Lee,Best Director,Brokeback Mountain,2006
399,Martin Scorsese,Best Director,The Departed,2007
405,Joel Coen,Best Director,No Country for Old Men,2008
406,Ethan Coen,Best Director,No Country for Old Men,2008
410,Danny Boyle,Best Director,Slumdog Millionaire,2009
411,Kathryn Bigelow,Best Director,The Hurt Locker,2009
416,Danny Boyle,Best Director,Slumdog Millionaire,2009
422,Tom Hooper,Best Director,The King's Speech,2011
427,Michel Hazanavicius,Best Director,The Artist,2012
432,Ang Lee,Best Director,Life of Pi,2013
