,rotten_tomatoes_link,movie_title,rating,in_theaters_date,on_streaming_date,studio_name,tomatometer_rating,tomatometer_count,audience_rating,audience_count
0,/m/0814255,Percy Jackson & the Olympians: The Lightning Thief,PG,2010-02-12,2010-06-29,20th Century Fox,49,144,53.0,254287.0
1,/m/0878835,Please Give,R,2010-04-30,2010-10-19,Sony Pictures Classics,86,140,64.0,11567.0
2,/m/10,10,R,1979-10-05,1997-08-27,Waner Bros.,68,22,53.0,14670.0
3,/m/1000013-12_angry_men,12 Angry Men (Twelve Angry Men),NR,1957-04-13,2001-03-06,Criterion Collection,100,51,97.0,105000.0
4,/m/1000079-20000_leagues_under_the_sea,"20,000 Leagues Under The Sea",G,1954-01-01,2003-05-20,Disney,89,27,74.0,68860.0
5,/m/10000_bc,"10,000 B.C.",PG-13,2008-03-07,2008-06-24,Warner Bros. Pictures,8,148,37.0,411087.0
6,/m/1000121-39_steps,The 39 Steps,NR,1935-08-01,1935-06-06,Gaumont British Distributors,96,47,86.0,23827.0
7,/m/1000123-310_to_yuma,3:10 to Yuma,NR,1957-08-07,2002-04-02,Columbia Pictures,96,27,78.0,9224.0
8,/m/10002008-charly,Charly (A Heartbeat Away),PG,2002-09-27,2003-08-01,Excel Entertainment,20,10,87.0,4819.0
9,/m/1000204-abraham_lincoln,Abraham Lincoln,NR,1930-11-08,2008-11-18,United Artists,90,10,38.0,455.0
10,/m/10002114-dark_water,Dark Water,PG-13,2002-01-19,2005-06-21,Toho Company Ltd,80,15,66.0,21459.0
11,/m/1000224-accused,The Accused,R,1988-10-14,2002-04-16,Paramount Pictures,91,22,79.0,20796.0
12,/m/10002516-lost_city,The Lost City,R,2005-09-03,2006-08-08,Magnolia Pictures,25,83,64.0,25940.0
13,/m/10002519-breaking_point,The Breaking Point,NR,1950-10-06,2017-08-08,Warner Home Video,100,7,84.0,328.0
14,/m/1000253-adams_rib,Adam's Rib,NR,1949-11-18,2000-09-19,MGM Home Entertainment,100,27,86.0,10545.0
15,/m/10002635-bridge_of_san_luis_rey,The Bridge of San Luis Rey,PG,2005-06-10,2005-10-11,Fine Line Features,4,24,35.0,1931.0
16,/m/10002673-prowler,The Prowler (Cost of Living ),PG,1951-12-03,2011-02-01,VCI Entertainment,100,17,86.0,284.0
17,/m/10003276-criminal,Criminal,R,2004-09-24,2005-04-12,Warner Bros. Pictures,69,124,57.0,6702.0
18,/m/1000334-adventures_of_mark_twain,The Adventures of Mark Twain,G,1985-03-01,2006-01-31,Eureka Entertainment Ltd,80,5,82.0,1042.0
19,/m/10003437-deep_blue,Deep Blue,G,2005-06-17,2006-04-11,Miramax Flims,67,52,80.0,4690.0
20,/m/1000355-adventures_of_robin_hood,The Adventures of Robin Hood,PG,1938-05-14,2003-09-30,Warner Bros.,100,46,89.0,33890.0
21,/m/10003876-man_hunt,Man Hunt,NR,1941-01-01,2009-05-19,Twentieth Century Fox,92,12,75.0,552.0
22,/m/10003925-dead_end,Dead End,R,2003-09-26,2004-11-19,LionsGate Entertainment,75,8,60.0,10351.0
23,/m/10004050-bandwagon,Bandwagon,R,1997-09-12,1999-02-16,Avalanche Entertainment,80,5,91.0,386.0
24,/m/10004069-whore,Whore,R,2004-04-16,2005-02-08,Dolores Pictures LLC,0,6,63.0,914.0
25,/m/10004209-tristan_and_isolde,Tristan & Isolde,PG-13,2006-01-13,2006-04-25,20th Century Fox,31,121,71.0,220945.0
26,/m/10004226-wild_side,Wild Side,NR,2005-06-10,2005-10-25,Wellspring,63,16,80.0,867.0
28,/m/10004288-running_scared,Running Scared,R,2006-02-24,2006-06-06,New Line Cinema,41,130,79.0,135373.0
29,/m/10004352-going_the_distance,Going the Distance,R,2004-08-20,2005-07-05,Séville Pictures,0,5,61.0,13032.0
30,/m/10004504-ultraviolet,Ultraviolet,PG-13,2006-03-03,2006-06-27,Sony Pictures,8,83,30.0,279966.0
31,/m/10004635-home_of_the_brave,Home of the Brave,R,2004-05-11,2007-10-23,Emerging Pictures,93,15,48.0,866.0
32,/m/10004659-arthur,Arthur and the Invisibles (Arthur and the Minimoys),PG,2007-01-12,2007-05-15,MGM,22,91,56.0,134466.0
33,/m/10004684-malevolence,Malevolence,R,2004-09-10,2005-04-19,Anchor Bay Entertainment,33,18,83.0,2619.0
34,/m/10004697-eternal,Eternal,R,2004-08-26,2005-10-18,Regent Releasing,21,34,40.0,1294.0
35,/m/10004835-farewell_to_arms,A Farewell To Arms,NR,1957-12-14,2005-03-29,Fox,0,11,36.0,1458.0
36,/m/10004890-narrow_margin,The Narrow Margin,NR,1952-05-04,2005-07-05,Warner Home Video,100,10,88.0,1129.0
37,/m/10004925-matador,The Matador,R,2006-01-27,2006-07-04,The Weinstein Company,75,154,65.0,73691.0
38,/m/10005057-smile,Smile,PG-13,2005-04-08,2005-09-06,Dark Forest Releasing,15,13,66.0,2059.0
39,/m/10005104-intruder,The Intruder (L'Intrus),G,2005-12-23,2006-04-25,Wellspring,86,29,73.0,9701.0
40,/m/10005178-saint_ralph,Saint Ralph,PG-13,2005-08-05,2005-12-13,IDP,64,69,85.0,6202.0
41,/m/10005403-the_baxter,The Baxter,PG-13,2005-08-26,2005-12-13,IFC Films,32,75,75.0,7434.0
42,/m/10005499-oliver_twist,Oliver Twist,PG-13,2005-09-30,2006-01-24,Sony Pictures,60,141,63.0,23278.0
43,/m/1000560-alamo,The Alamo,NR,1960-10-24,2000-12-05,Batjac Productions,50,20,63.0,7323.0
44,/m/10005755-g,G,R,2005-09-16,2006-03-28,Slow Hand Cinema,24,29,60.0,1140.0
45,/m/1000580-alexander_the_great,Alexander the Great,G,1956-03-28,2004-10-19,United Artists,0,8,42.0,5382.0
46,/m/1000581-alfie,Alfie,PG,1966-08-24,2001-02-27,Paramount Pictures,96,26,77.0,14657.0
47,/m/10005819-10005819-neverwas,Neverwas,PG-13,2005-09-09,2007-07-03,Senator Film,14,7,65.0,4058.0
48,/m/10006007-the_second_chance,The Second Chance,PG-13,2006-02-17,2006-07-18,Sony Pictures,40,15,78.0,79542.0
49,/m/10006057-moonlight,Moonlight,R,2003-10-17,2007-04-03,Indican Pictures,60,10,67.0,1430.0
50,/m/1000617-aliens,Aliens,R,1986-07-18,1999-06-01,20th Century Fox,99,72,94.0,429158.0
51,/m/10006188-rise,Rise: Blood Hunter,R,2007-06-01,2007-10-09,IDP Distribution,36,14,20.0,8237.0
52,/m/1000626-all_about_eve,All About Eve,PG,1950-01-01,1999-10-05,20th Century Fox,100,67,94.0,45151.0
53,/m/10006270,When Do We Eat?,R,2006-04-07,2006-08-22,ThinkFilm,42,38,68.0,1121.0
54,/m/10006324,The Mostly Unfabulous Social Life of Ethan Green,R,2006-06-16,2006-10-10,Regent Releasing,27,26,58.0,2392.0
55,/m/10006343-dirty,Dirty,R,2006-02-24,2006-04-04,SNP Inc.,21,28,42.0,7321.0
56,/m/10006370-stay_alive,Stay Alive,PG-13,2006-03-24,2006-09-19,Buena Vista,9,58,55.0,113399.0
57,/m/1000640-all_of_me,All of Me,PG,1984-09-21,1999-02-02,HBO Video,92,36,67.0,14328.0
59,/m/10006434-dreamland,Dreamland,PG-13,2006-01-23,2006-12-19,Dreamland Motion Picture Co.,67,15,65.0,5650.0
60,/m/10006485-black_gold,Independent Lens,NR,2006-10-06,2010-04-27,California Newsreel,84,50,84.0,1854.0
61,/m/1000654-all_the_kings_men,All the King's Men,PG,1949-11-08,2001-06-05,Sony Pictures Home Entertainment,97,35,78.0,4844.0
62,/m/10006588-street_fight,Street Fight,NR,2005-01-01,2007-01-09,Marshall Curry Productions,100,22,93.0,2988.0
63,/m/10006848-the_motel,The Motel,NR,2005-06-28,2007-01-30,Palm Pictures,87,31,64.0,4038.0
64,/m/10006849-once_in_a_lifetime,Once in a Lifetime: The Extraordinary Story of the New York Cosmos,PG-13,2006-05-18,2006-10-03,Miramax,81,59,80.0,1416.0
65,/m/10006856-requiem,Requiem,NR,2006-10-20,2007-03-06,IFC First Take,86,35,66.0,4728.0
66,/m/10006940-silk,Gui si (Silk),PG-13,2006-05-24,2007-06-12,,40,5,58.0,2530.0
67,/m/10007139-park,Park,R,2006-06-12,2008-05-20,Mello Pictures,36,11,48.0,684.0
68,/m/10007142-the_4th_dimension,The 4th Dimension,NR,2006-04-01,2008-04-08,,63,8,31.0,394.0
