,person,award,movie,year_of_award
283,Haing S. Ngor,Best Supporting Actor,The Killing Fields,1985
288,Don Ameche,Best Supporting Actor,Cocoon,1986
292,Michael Caine,Best Supporting Actor,Hannah and Her Sisters,1987
297,Sean Connery,Best Supporting Actor,The Untouchables,1988
302,Kevin Kline,Best Supporting Actor,A Fish Called Wanda,1989
308,Denzel Washington,Best Supporting Actor,Glory,1990
313,Joe Pesci,Best Supporting Actor,Good Fellas,1991
318,Jack Palance,Best Supporting Actor,City Slickers,1992
323,Gene Hackman,Best Supporting Actor,Unforgiven,1993
328,Tommy Lee Jones,Best Supporting Actor,The Fugitive,1994
334,Martin Landau,Best Supporting Actor,Ed Wood,1995
339,Kevin Spacey,Best Supporting Actor,The Usual Suspects,1996
345,"Cuba Gooding, Jr.",Best Supporting Actor,Jerry Maguire,1997
349,Robin Williams,Best Supporting Actor,Good Will Hunting,1998
354,James Coburn,Best Supporting Actor,Affliction,1999
361,Michael Caine,Best Supporting Actor,The Cider House Rules,2000
367,Benicio Del Toro,Best Supporting Actor,Traffic,2001
373,Jim Broadbent,Best Supporting Actor,Iris,2002
379,Chris Cooper,Best Supporting Actor,Adaptation,2003
383,Tim Robbins,Best Supporting Actor,Mystic River,2004
388,Morgan Freeman,Best Supporting Actor,Million Dollar Baby,2005
395,George Clooney,Best Supporting Actor,Syriana,2006
401,Alan Arkin,Best Supporting Actor,Little Miss Sunshine,2007
408,Javier Bardem,Best Supporting Actor,No Country for Old Men,2008
413,Heath Ledger,Best Supporting Actor,The Dark Knight,2009
418,Christoph Waltz,Best Supporting Actor,Inglourious Basterds,2010
424,Christian Bale,Best Supporting Actor,The Fighter,2011
429,Christopher Plummer,Best Supporting Actor,Beginning,2012
434,Christoph Waltz,Best Supporting Actor,Django Unchained,2013
438,Jared Leto,Best Supporting Actor,Dallas Buyers Club,2014
