,person,award,movie,year_of_award
202,Franklin J. Schaffner,Best Director,Patton,1970
212,William Friedkin,Best Director,The French Connection,1972
217,Bob Fosse,Best Director,Cabaret,1973
218,George Roy Hill,Best Director,The Sting,1973
227,Francis Ford Coppola,Best Director,The Godfather Part II,1975
232,Milos Forman,Best Director,One Flew over the Cuckoo's Nest,1976
233,John G. Avildsen,Best Director,Rocky,1976
245,Woody Allen,Best Director,Annie Hall,1978
250,Michael Cimino,Best Director,The Deer Hunter,1979
256,Robert Benton,Best Director,Kramer vs. Kramer,1980
257,Robert Redford,Best Director,Ordinary People,1980
262,Warren Beatty,Best Director,Reds,1981
267,Richard Attenborough,Best Director,Gandhi,1982
272,James L. Brooks,Best Director,Terms of Endearment,1983
281,Milos Forman,Best Director,Amadeus,1985
286,Sydney Pollack,Best Director,Out of Africa,1986
295,Bernardo Bertolucci,Best Director,The Last Emperor,1988
300,Barry Levinson,Best Director,Rain Man,1989
305,Oliver Stone,Best Director,Platoon,1990
306,Oliver Stone,Best Director,Born on the Fourth of July,1990
311,Kevin Costner,Best Director,Dances with Wolves,1991
316,Jonathan Demme,Best Director,The Silence of the Lambs,1992
321,Clint Eastwood,Best Director,Unforgiven,1993
326,Steven Spielberg,Best Director,Schindler's List,1994
332,Robert Zemeckis,Best Director,Forrest Gump,1995
337,Mel Gibson,Best Director,Braveheart,1996
342,Anthony Minghella,Best Director,The English Patient,1997
348,James Cameron,Best Director,Titanic,1998
352,Steven Spielberg,Best Director,Saving Private Ryan,1999
359,Sam Mendes,Best Director,American Beauty,2000
365,Steven Soderbergh,Best Director,Traffic,2001
371,Ron Howard,Best Director,A Beautiful Mind,2002
376,Roman Polanski,Best Director,The Pianist,2003
382,Peter Jackson,Best Director,The Lord of the Rings: Return of the King,2004
386,Clint Eastwood,Best Director,Million Dollar Baby,2005
393,Ang Lee,Best Director,Brokeback Mountain,2006
399,Martin Scorsese,Best Director,The Departed,2007
405,Joel Coen,Best Director,No Country for Old Men,2008
406,Ethan Coen,Best Director,No Country for Old Men,2008
410,Danny Boyle,Best Director,Slumdog Millionaire,2009
411,Kathryn Bigelow,Best Director,The Hurt Locker,2009
422,Tom Hooper,Best Director,The King's Speech,2011
427,Michel Hazanavicius,Best Director,The Artist,2012
432,Ang Lee,Best Director,Life of Pi,2013
